,msa,college_app,house_app,comm_app,crime_app,ugrad_app,grad_app,pop2564_app,patent_app,grad_rank,ugrad_rank,crime_rank,house_rank,comm_rank,college_rank,patent_rank,pop2564_rank,raw_rank,overall_rank,Longitude,Latitude
50,"Louisville/Jefferson County, KY-IN",0.283350915,203596.5781,0.66429013,3.895095587,74,1,687924,0.000218906,40,75,63,55,75,73,70,22,50.27777778,51,-84.847023,37.792809
51,"Nashville-Davidson--Murfreesboro--Franklin, TN",0.328305364,261763.2813,0.582840979,5.634635925,409,3,1157299,0.000142237,24,27,92,102,98,35,84,12,50.61111111,53,-86.777305,36.166001
52,"Harrisburg-Carlisle, PA",0.328214765,210511.9844,0.724607885,2.353736401,159,0,301411,0.000425081,46,53,20,63,50,36,36,53,46.69444444,43,-76.829482,40.253789
53,"San Antonio-New Braunfels, TX",0.277919829,206011.5313,0.60912478,3.882369041,212,0,1253083,0.000196983,46,44,62,58,92,77,71,9,46.38888889,41,-98.528407,29.453094
54,"College Station-Bryan, TX",0.352781475,216363.5938,0.857335091,2.759936571,681,13,113895,0.000344424,9,15,32,67,3,21,50,98,51.91666667,57,-96.341465,30.623317
55,"Fort Wayne, IN",0.270731211,144706.2813,0.774882495,2.213977814,27,0,220100,0.000392992,46,96,15,2,26,86,41,71,50.86111111,55,-85.12886,41.130604
56,"Springfield, MA",0.310676873,248732.4063,0.706940353,5.026746273,1125,5,314523,0.000261303,18,7,78,92,60,44,63,50,53.22222222,60,-72.604842,42.170731
57,"Birmingham-Hoover, AL",0.299216777,200532.2188,0.611036718,5.408571243,137,2,606349,0.000108883,30,61,88,52,91,55,93,23,53.25,61,-86.764855,33.572334
58,"Winston-Salem, NC",0.263675272,186392.7188,0.714729905,3.965058327,184,1,343028,0.00028875,40,49,66,38,55,93,58,47,53.33333333,63,-80.200493,36.111102
59,"New Orleans-Metairie, LA",0.29384464,242642.3281,0.632257283,5.147834778,326,2,693754,0.000119116,30,31,82,89,87,61,90,21,53.33333333,63,-90.06557,29.975154
60,"Erie, PA",0.280312449,163502.5625,0.797060251,2.309861898,95,0,142947,0.000373302,46,68,18,11,16,76,43,87,53.41666667,65,-80.088919,42.121293
61,"Peoria, IL",0.276544273,167469.1875,0.783246517,3.175287008,76,0,193418,0.000624006,46,73,44,15,19,79,16,77,52.16666667,58,-89.589847,40.693137
62,"Toledo, OH",0.270588011,154983.1719,0.77540791,5.547934532,146,0,308571,0.000337872,46,59,91,6,25,87,51,51,50.80555556,54,-83.569359,41.720684
63,"Memphis, TN-MS-AR",0.274978876,177756.9844,0.646323919,10.31954956,83,0,704503,0.000288186,46,71,102,25,81,81,59,20,51.19444444,56,-89.990415,35.169255
64,"Fayetteville-Springdale-Rogers, AR-MO",0.309033513,205268.1094,0.7573421,2.587484121,123,0,265130,0.000150414,46,64,27,57,32,47,82,59,52.47222222,59,-94.233876,36.042826
65,"Gainesville, FL",0.375105202,201293.4688,0.728293538,5.347840309,975,7,134473,0.000578301,16,9,87,53,46,10,18,92,55.75,68,-82.324515,29.648993
66,"Asheville, NC",0.334305584,237545.1563,0.751846075,1.989746213,61,0,237213,0.00019397,46,82,8,83,36,32,74,65,55.27777778,67,-82.567281,35.602711
67,"Columbia, SC",0.328984678,181119.5938,0.64273876,5.69583416,147,0,422911,0.000160763,46,57,93,32,82,34,81,39,54.16666667,66,-81.024864,33.987454
68,"Albuquerque, NM",0.318382978,237665.4531,0.686391532,7.233643055,156,0,482135,0.000437794,46,55,101,84,69,39,33,32,53.30555556,62,-106.651137,35.084491
69,"Idaho Falls, ID",0.298921436,179847.2344,0.821392715,1.75759244,30,0,109964,0.000408002,46,93,5,30,8,56,38,100,57.52777778,73,-111.877936,43.54241
70,"Rochester, MN",0.367128521,228343.4375,0.780677319,1.394267321,0,0,111703,0.001994901,46,101,2,76,22,17,1,99,57.86111111,76,-92.516916,44.075285
71,"Palm Bay-Melbourne-Titusville, FL",0.293090194,218377.4063,0.657610238,4.738141537,72,2,295210,0.000675788,30,77,75,72,78,62,13,54,58.16666667,79,-80.80755,28.61222
72,"Baton Rouge, LA",0.268688947,209585.7656,0.636016667,5.066962242,243,3,433689,0.000121162,24,42,81,62,86,89,89,37,58.11111111,77,-91.185607,30.44924
73,"Huntsville, AL",0.367655516,217049.9844,0.707069457,4.675434589,71,0,242860,0.000654488,46,78,73,69,59,14,14,63,56,69,-86.556439,34.718428
74,"Fargo, ND-MN",0.389398456,230780.25,0.883624792,2.423107386,149,0,120606,0.000347033,46,56,23,80,1,6,49,95,56.30555556,70,-96.834703,46.927094
75,"Davenport-Moline-Rock Island, IA-IL",0.262168229,166485.7969,0.799260199,3.505347729,73,0,196641,0.000310903,46,76,54,14,14,94,54,76,56.94444444,72,-90.563736,41.536251
76,"Lancaster, PA",0.250031888,239890.0156,0.690402865,1.626740932,199,0,269075,0.000351059,46,46,3,87,66,102,47,57,56.41666667,71,-76.31068,40.076553
77,"Eugene, OR",0.287684649,261651.6875,0.80390811,2.247885466,245,0,185066,0.000304865,46,41,17,100,12,68,55,79,58.16666667,78,-123.086754,44.052069
78,"Columbus, GA-AL",0.288750321,180314.9688,0.726245463,3.838965654,132,0,236302,0.000124242,46,62,60,31,49,65,88,66,59.30555556,81,-84.97823,32.472864
79,"Jacksonville, FL",0.30651179,244407.6875,0.591567338,5.064226151,36,0,795465,0.000162917,46,88,80,90,96,50,80,18,57.55555556,74,-81.65565,30.33218
80,"Decatur, IL",0.304109186,148904.9219,0.832331598,6.34030962,29,0,161497,0.000195802,46,95,97,3,5,51,73,82,61.08333333,84,-88.946486,39.839477
81,"Spokane-Spokane Valley, WA",0.296320468,238538.2969,0.727476001,3.093854666,112,0,289531,0.000282908,46,65,42,86,48,60,61,56,57.55555556,74,-117.762554,48.124594
82,"Greenville, NC",0.282998741,172619.0625,0.757518232,2.385251284,46,0,144789,0.000169204,46,84,21,21,31,74,77,86,60.19444444,83,-77.392609,35.580444
83,"Little Rock-North Little Rock-Conway, AR",0.306961209,193905.6875,0.699377,6.941122532,69,0,382489,0.000108333,46,79,99,45,63,49,94,43,59.66666667,82,-92.235641,34.708985
84,"Lubbock, TX",0.301527381,168380.875,0.877322912,7.175092697,109,0,147143,0.000110087,46,66,100,17,2,54,92,84,62.72222222,87,-101.85517,33.57786
85,"Jackson, MS",0.298734456,183024.3906,0.655072927,3.446473598,65,0,302955,6.81E-05,46,80,53,34,79,57,99,52,59.27777778,80,-90.18481,32.29876
86,"Wheeling, WV-OH",0.26038295,159346.9219,0.719969034,2.458594799,124,0,145117,0.000142608,46,63,24,7,53,96,83,85,61.66666667,85,-80.647599,40.102703
87,"Duluth, MN-WI",0.25312385,178028.2188,0.771084249,2.238322258,104,0,141882,0.00013391,46,67,16,26,28,101,86,88,62.11111111,86,-92.001934,47.005566
88,"Tallahassee, FL",0.393473148,206902.6719,0.709281087,6.732261658,278,0,185947,0.000234776,46,36,98,59,58,5,68,78,62.80555556,88,-84.258472,30.427753
89,"Daphne-Fairhope-Foley, AL",0.257247478,184747.6094,0.614865422,3.402081966,34,0,321284,9.38E-05,46,92,51,36,90,99,96,49,63.75,90,-87.6836,30.40659
90,"Saginaw, MI",0.261466503,133798.7969,0.743632317,4.682340145,12,0,140198,0.000855734,46,100,74,1,37,95,8,91,63.52777778,89,-83.886873,43.41242
91,"Kennewick-Richland, WA",0.258546859,223892.7969,0.766566277,2.008131266,0,0,141204,0.000406783,46,101,10,74,29,98,39,89,65.88888889,93,-119.28446,46.28569
92,"Montgomery, AL",0.284271896,179001.4063,0.705192924,3.870396614,35,0,198558,6.23E-05,46,89,61,28,61,71,100,75,67.16666667,94,-86.257817,32.356988
93,"Sioux Falls, SD",0.341453046,228726.4375,0.852911532,3.19324398,24,0,134124,0.000255963,46,97,46,77,4,25,65,93,64.52777778,91,-97.595227,44.010702
94,"Pensacola-Ferry Pass-Brent, FL",0.270824373,193558.1719,0.682984293,4.916777134,30,0,253046,0.000128241,46,93,77,44,72,85,87,61,67.69444444,95,-87.147322,30.340147
95,"Springfield, MO",0.265126437,173193.2031,0.732183933,5.318303585,79,0,224880,8.50E-05,46,72,85,22,43,92,97,69,65.25,92,-93.343673,37.25807
96,"Chattanooga, TN-GA",0.259995848,190005.0156,0.683996499,5.869012833,45,0,292076,0.000118835,46,86,95,41,71,97,91,55,68,96,-85.206426,35.017818
