,MSA,Total Population,population,collegegrad,sciencegrad,scienceugrad,houseprice,commute,violentcrime,patents,Kauffman,Site selection,Total Sq Feet,Underused Sq Feet,acres land,Top 50 Grad programs,govt at univ R&D per capita,Longitude,Latitude
42,"Boise City, ID",690214,355050,0.31,0,5.6,240739,0.73,2.212357283,1.798830271,0,0,4750517,0,1038,0,1,-116.354524,43.64003
43,"Boston-Cambridge-Newton, MA-NH",4794447,2614584,0.47,70,474,497024,0.5,3.220435619,1.234612346,1,0,16951470,268100.5625,3700,107,1011,-71.20922,42.33704
44,"Boulder, CO",322226,167704,0.61,12,48.3,577208,0.72,1.917908549,2.900005102,0,0,833391,2592,2001,19,4538,-105.201421,40.049468
45,"Bowling Green, KY",174560,85572,0.26,0,5.9,179739,0.73,1.71860683,0.116510935,0,1,184921,22094,0,0,365,-86.451752,37.017407
46,"Bremerton-Silverdale, WA",264811,138981,0.32,0,0,342382,0.61,2.57542181,0.438639879,0,0,14506894,0,19353,0,0,-122.67038,47.562247
47,"Bridgeport-Stamford-Norwalk, CT",944177,499693,0.47,0,8.9,665378,0.61,2.414801359,0.788607061,0,0,1940080,0,363,0,0,-73.363661,41.308873
48,"Brownsville-Harlingen, TX",422135,190480,0.17,0,0.5,108073,0.75,2.593956947,0.029606612,0,0,616676,3140,546,0,0,-97.345479,25.979359
49,"Brunswick, GA",115737,58756,0.23,0,0,227998,0.7,4.086852074,0.064302571,0,0,1739272,552347,1643,0,0,-81.493973,31.180919
50,"Buffalo-Cheektowaga-Niagara Falls, NY",1132804,599076,0.32,2,25.3,171693,0.74,4.328727722,0.296772271,0,0,3155323,0,835,11,638,-76.496624,42.452813
51,"Burlington, NC",159688,81877,0.22,0,2.3,177454,0.67,3.619558096,0.14663811,0,0,0,0,0,0,3,-79.49161,36.029833
52,"Burlington-South Burlington, VT",217411,114154,0.43,0,14.5,302699,0.7,0.975111663,2.165245056,0,0,1372173,0,11464,2,1112,-73.144093,44.50537
53,"California-Lexington Park, MD",112587,60292,0.26,0,6.5,319370,0.55,,0.082943588,0,0,NA,,,0,7,-76.536114,38.273182
54,"Canton-Massillon, OH",401281,204513,0.23,0,3.5,160217,0.73,2.79367137,0.472320974,0,0,91472,0,0,0,0,-81.52151,40.79672
55,"Cape Coral-Fort Myers, FL",722336,342658,0.28,0,0.5,288676,0.58,3.185498238,0.140098393,0,0,276884,1725,30,0,16,-81.978158,26.562749
56,"Cape Girardeau, MO-IL",94806,46730,0.27,0,2.4,174391,0.76,4.124211311,0.102589361,0,0,245688,0,0,0,1,-89.574605,37.335289
57,"Carbondale-Marion, IL",126430,63337,0.3,0,7.4,146276,0.76,,0.143605471,0,0,NA,,,1,2498,-89.209109,37.739004
58,"Carson City, NV",54742,27204,0.2,0,0,296575,0.78,2.922801495,0.738239169,0,0,5000,0,0,0,0,-119.73074,39.154485
59,"Casper, WY",81039,43035,0.24,0,0,277702,0.91,1.863300443,0.135300055,0,0,369049,0,111,0,0,-106.312561,42.859875
60,"Cedar Rapids, IA",267799,140050,0.33,0,8,201275,0.79,1.885742664,0.783928573,0,0,451155,0,4,0,2,-91.657578,41.976612
61,"Chambersburg-Waynesboro, PA",153851,77381,0.22,0,0.1,208401,0.69,,0.05827257,0,0,NA,,,0,0,-77.654082,39.929038
62,"Champaign-Urbana, IL",239872,111806,0.42,23,121.4,174567,0.83,4.298125744,0.942316651,0,0,164775,0,1,44,4589,-88.20727,40.11059
63,"Charleston, WV",219579,117115,0.23,0,0.5,155006,0.75,5.068006992,0.127787963,0,0,1065734,0,280,0,40,-81.630359,38.350719
64,"Charleston-North Charleston, SC",761155,414576,0.35,0,7.6,312559,0.6,3.677258492,0.159038052,0,1,5299003,30460,9299,0,733,-79.977282,32.776671
65,"Charlotte-Concord-Gastonia, NC-SC",2474314,1340349,0.34,0,22.1,251947,0.59,3.732384443,0.261365473,1,0,2542361,3000,330,2,30,-81.1873,35.26208
66,"Charlottesville, VA",229467,116995,0.45,4,63.9,332483,0.65,1.616790175,0.429778785,0,0,278108,1587,5,21,5993,-78.556765,38.087663
67,"Chattanooga, TN-GA",551200,292076,0.26,0,4.1,190005,0.68,5.869012833,0.10460443,0,0,1009844,289019,2928,0,1,-85.206426,35.017818
68,"Cheyenne, WY",98136,52412,0.27,0,0,242076,0.92,1.569250822,0.117652357,0,0,4733096,2250,6433,0,0,-104.936269,41.092356
69,"Chicago-Naperville-Elgin, IL-IN-WI",9512968,5123991,0.37,31,214.7,289070,0.48,3.672882557,0.439582676,1,1,31395470,459831,13557,58,343,-88.28119,42.03725
70,"Chico, CA",226864,106700,0.26,0,5.6,281193,0.75,2.988574743,0.139636844,0,0,56949,0,233,0,26,-121.840083,39.746159
71,"Cincinnati, OH-KY-IN",2161441,1134241,0.33,0,37.3,205151,0.65,2.585971117,0.523624539,1,1,5129487,85478,1138,7,408,-84.53822,39.166759
72,"Clarksville, TN-KY",282075,144112,0.23,0,1.6,171725,0.68,4.516529083,0.026373904,0,0,17004834,0,105428,0,5,-87.334932,36.522633
73,"Cleveland, TN",123861,64468,0.21,0,0.9,164888,0.7,4.779551506,0.086221106,0,0,11954,0,0,0,0,-84.874031,35.149223
74,"Cleveland-Elyria, OH",2055612,1076766,0.3,5,78.5,182174,0.64,3.320599079,0.463887006,1,0,5609452,163947,358,18,474,-81.596226,41.547929
75,"Coeur d'Alene, ID",154311,78089,0.26,0,0,278747,0.7,2.650491476,0.246765643,0,0,215690,0,238,0,0,-116.654109,47.691736
76,"College Station-Bryan, TX",254716,113895,0.35,13,61.9,216364,0.86,2.759936571,0.420909047,0,0,216417,2444,457,30,7022,-96.341465,30.623317
77,"Colorado Springs, CO",712327,371558,0.38,0,21.1,287820,0.73,3.699424505,0.391856104,0,0,28510046,7014,395132,0,203,-104.857828,38.861469
78,"Columbia, MO",176594,85292,0.44,3,26.3,203254,0.85,3.35232234,0.31986922,0,0,105264,11950,11,13,1959,-92.274145,38.894165
79,"Columbia, SC",816450,422911,0.33,0,13.4,181120,0.64,5.69583416,0.148925826,0,0,12717080,90182.07813,52185,9,578,-81.024864,33.987454
80,"Columbus, GA-AL",307816,158882,0.26,0,0.7,173270,0.76,4.560883999,0.052934702,0,0,67924544,0,179740,0,5,-84.97823,32.472864
81,"Columbus, IN",81402,41929,0.33,0,0,221572,0.81,1.081054568,0.82825464,0,0,17939,0,0,0,0,-85.891338,39.191447
82,"Columbus, OH",2041520,1108622,0.36,14,77.5,217984,0.67,2.829596043,0.348780632,1,1,5415669,0,1057,39,798,-83.013402,40.100924
83,"Corpus Christi, TX",452790,226845,0.21,0,2.4,156010,0.79,5.853486061,0.069015756,0,0,9171659,0,5901,0,76,-97.399067,27.797802
84,"Corvallis, OR",89385,40213,0.54,4,22.8,317705,0.83,1.241819143,2.450050592,0,0,376409,30880,507,16,5398,-123.275969,44.639931
85,"Crestview-Fort Walton Beach-Destin, FL",267059,140573,0.3,0,0,272466,0.65,3.800658226,0.090437166,0,0,16122088,0,330222,0,0,-86.56264,30.74964
86,"Cumberland, MD-WV",99541,49515,0.16,0,1.8,154385,0.7,2.646145821,0.069645643,0,0,2271397,0,1810,0,11,-78.690593,39.580691
87,"Dallas-Fort Worth-Arlington, TX",7232599,3870460,0.34,2,27.6,253429,0.55,3.189586401,0.484574586,1,1,14635821,0,3341,8,205,-97.10807,32.73569
88,"Dalton, GA",143904,71798,0.12,0,0,136480,0.71,2.119468451,0.060624681,0,0,8566,0,0,0,0,-84.989796,34.801861
89,"Danville, IL",78111,38451,0.14,0,0.1,97381,0.79,6.0170784,0.091489017,0,0,529221,49803,259,0,0,-87.636466,40.136234
90,"Daphne-Fairhope-Foley, AL",208563,106366,0.3,0,0,240358,0.56,,0.075886182,0,0,NA,,,0,0,-87.6836,30.40659
91,"Davenport-Moline-Rock Island, IA-IL",383352,196641,0.26,0,6.6,166486,0.8,3.505347729,0.280071646,0,0,7926688,0,1220,0,26,-90.563736,41.536251
92,"Dayton, OH",800683,409517,0.27,0,16.5,153185,0.75,2.738707304,0.377094537,0,1,18530646,202002,7774,2,557,-84.268593,39.750471
93,"Decatur, AL",152256,79433,0.18,0,0,137905,0.63,1.706551552,0.112874351,0,1,49146,0,0,0,0,-87.011052,34.608016
94,"Decatur, IL",106550,52765,0.22,0,1.4,125040,0.87,3.725950241,0.181350678,0,0,8966,0,0,0,0,-88.946486,39.839477
95,"Deltona-Daytona Beach-Ormond Beach, FL",637674,313975,0.24,0,2.6,203578,0.61,3.8248384,0.161826655,0,0,55457,2705,1,0,48,-89.542262,31.139508
96,"Denver-Aurora-Lakewood, CO",2853077,1606021,0.42,2,21.5,398716,0.57,3.203859568,0.444285154,1,0,15387157,54664.71094,11169,7,43,-105.08137,39.70471
